date,province,articles,risk_any_count,score_sum,score_avg,province_conf_avg
2026-01-19,TP Hồ Chí Minh,26,23,172.0,6.615384615384615,0.8560998312058993
2026-01-19,Thừa Thiên Huế,7,6,34.5,4.928571428571429,0.7128305867801666
2026-01-19,Tây Ninh,1,1,8.0,8.0,0.8863636363636364
2026-01-19,UNKNOWN,8,6,47.5,5.9375,0.0
2026-01-19,Yên Bái,1,1,5.5,5.5,0.5833333333333333
2026-01-19,Điện Biên,2,1,14.0,7.0,0.7832606324972737
2026-01-19,Đà Nẵng,4,4,38.0,9.5,0.7487824675324675
2026-01-19,Đắk Lắk,2,2,20.0,10.0,0.8017543859649123
2026-01-19,Đồng Tháp,1,0,0.0,0.0,0.8148148148148149
2026-01-20,An Giang,1,1,8.0,8.0,0.5833333333333333
2026-01-20,Cao Bằng,1,1,3.0,3.0,0.8924731182795699
2026-01-20,Cà Mau,2,2,13.5,6.75,0.7978784403669725
2026-01-20,Cần Thơ,2,2,11.5,5.75,0.613095238095238
2026-01-20,Gia Lai,3,3,23.5,7.833333333333333,0.8564332857045655
2026-01-20,Hà Giang,1,1,11.0,11.0,0.6875
2026-01-20,Hà Nội,14,6,40.5,2.892857142857143,0.7834742461557054
2026-01-20,Hà Tĩnh,2,2,15.0,7.5,0.6726190476190476
2026-01-20,Hòa Bình,3,3,25.5,8.5,0.6378968253968254
2026-01-20,Khánh Hòa,5,4,26.5,5.3,0.8527338143956905
2026-01-20,Kiên Giang,1,1,3.0,3.0,0.8666666666666667
2026-01-20,Lai Châu,1,0,0.0,0.0,0.8924731182795699
2026-01-20,Nghệ An,8,5,25.5,3.1875,0.670929518612585
2026-01-20,Quảng Nam,1,1,3.5,3.5,0.8666666666666667
2026-01-20,Quảng Ngãi,1,1,6.0,6.0,0.736842105263158
2026-01-20,Quảng Trị,2,1,12.5,6.25,0.7170398009950248
2026-01-20,TP Hồ Chí Minh,15,13,92.5,6.166666666666667,0.861054453627215
2026-01-20,Thanh Hóa,2,1,13.0,6.5,0.7987117552334944
2026-01-20,Thừa Thiên Huế,2,1,7.5,3.75,0.7214285714285714
2026-01-20,Tuyên Quang,1,1,3.5,3.5,0.7826086956521738
2026-01-20,UNKNOWN,11,7,34.5,3.1363636363636362,0.0
2026-01-20,Điện Biên,3,3,12.0,4.0,0.9166309166309166
2026-01-20,Đà Nẵng,8,7,60.5,7.5625,0.8207687252699734
2026-01-20,Đắk Lắk,1,1,18.5,18.5,0.8529411764705882
2026-01-20,Đồng Nai,1,0,0.0,0.0,0.8850574712643678
